,datetime,station,lat,lon,pm2_5
357,2024-01-03 03:00:00,3T,13.7563,100.5018,116.12
358,2024-01-03 03:00:00,5T,13.7367,100.5231,116.12
359,2024-01-03 03:00:00,10T,13.7291,100.775,39.43
360,2024-01-03 03:00:00,11T,13.7898,100.4486,193.23
361,2024-01-03 03:00:00,12T,13.8225,100.5147,116.12
362,2024-01-03 03:00:00,15T,13.7083,100.3728,193.23
363,2024-01-03 03:00:00,61T,13.6796,100.6067,73.65
364,2024-01-03 04:00:00,3T,13.7563,100.5018,72.24
365,2024-01-03 04:00:00,5T,13.7367,100.5231,72.24
366,2024-01-03 04:00:00,10T,13.7291,100.775,28.14
367,2024-01-03 04:00:00,11T,13.7898,100.4486,121.98
368,2024-01-03 04:00:00,12T,13.8225,100.5147,72.24
369,2024-01-03 04:00:00,15T,13.7083,100.3728,121.98
370,2024-01-03 04:00:00,61T,13.6796,100.6067,50.02
371,2024-01-03 05:00:00,3T,13.7563,100.5018,59.02
372,2024-01-03 05:00:00,5T,13.7367,100.5231,59.02
373,2024-01-03 05:00:00,10T,13.7291,100.775,23.73
374,2024-01-03 05:00:00,11T,13.7898,100.4486,86.6
375,2024-01-03 05:00:00,12T,13.8225,100.5147,59.02
376,2024-01-03 05:00:00,15T,13.7083,100.3728,86.6
377,2024-01-03 05:00:00,61T,13.6796,100.6067,47.05
378,2024-01-03 06:00:00,3T,13.7563,100.5018,59.28
379,2024-01-03 06:00:00,5T,13.7367,100.5231,59.28
380,2024-01-03 06:00:00,10T,13.7291,100.775,22.16
381,2024-01-03 06:00:00,11T,13.7898,100.4486,80.78
382,2024-01-03 06:00:00,12T,13.8225,100.5147,59.28
383,2024-01-03 06:00:00,15T,13.7083,100.3728,80.78
384,2024-01-03 06:00:00,61T,13.6796,100.6067,49.17
385,2024-01-03 07:00:00,3T,13.7563,100.5018,66.65
386,2024-01-03 07:00:00,5T,13.7367,100.5231,66.65
387,2024-01-03 07:00:00,10T,13.7291,100.775,22.76
388,2024-01-03 07:00:00,11T,13.7898,100.4486,79.41
389,2024-01-03 07:00:00,12T,13.8225,100.5147,66.65
390,2024-01-03 07:00:00,15T,13.7083,100.3728,79.41
391,2024-01-03 07:00:00,61T,13.6796,100.6067,56.27
392,2024-01-03 08:00:00,3T,13.7563,100.5018,73.95
